Sample Id	SMAD4: Putative copy-number alterations from GISTIC	SMAD4: mRNA expression (RNA Seq V2 RSEM)	Copy Number Alterations
TCGA-2J-AAB8-01	Deep Deletion	862.9847	SMAD4: Deep Deletion
TCGA-2J-AABO-01	Deep Deletion	1028.8462	SMAD4: Deep Deletion
TCGA-2J-AABU-01	Deep Deletion	1044.7598	SMAD4: Deep Deletion
TCGA-2L-AAQE-01	Deep Deletion	353.4708	SMAD4: Deep Deletion
TCGA-2L-AAQI-01	Deep Deletion	881.3355	SMAD4: Deep Deletion
TCGA-3A-A9IB-01	Deep Deletion	722.4912	SMAD4: Deep Deletion
TCGA-3A-A9IU-01	Deep Deletion	601.9332	SMAD4: Deep Deletion
TCGA-3A-A9IZ-01	Deep Deletion	825.3606	SMAD4: Deep Deletion
TCGA-3A-A9J0-01	Deep Deletion	414.9142	SMAD4: Deep Deletion
TCGA-F2-6879-01	Deep Deletion	505.6714	SMAD4: Deep Deletion
TCGA-F2-A44G-01	Deep Deletion	545.2539	SMAD4: Deep Deletion
TCGA-FB-AAPZ-01	Deep Deletion	725.677	SMAD4: Deep Deletion
TCGA-H8-A6C1-01	Deep Deletion	707.4353	SMAD4: Deep Deletion
TCGA-HV-A5A6-01	Deep Deletion	634.9036	SMAD4: Deep Deletion
TCGA-HV-A7OL-01	Deep Deletion	280.9612	SMAD4: Deep Deletion
TCGA-IB-7886-01	Deep Deletion	796.5915	SMAD4: Deep Deletion
TCGA-IB-7887-01	Deep Deletion	510.1165	SMAD4: Deep Deletion
TCGA-IB-7891-01	Deep Deletion	1583.1543	SMAD4: Deep Deletion
TCGA-IB-7893-01	Deep Deletion	1360.9858	SMAD4: Deep Deletion
TCGA-IB-A7M4-01	Deep Deletion	610.7025	SMAD4: Deep Deletion
TCGA-L1-A7W4-01	Deep Deletion	252.4575	SMAD4: Deep Deletion
TCGA-M8-A5N4-01	Deep Deletion	451.4647	SMAD4: Deep Deletion
TCGA-OE-A75W-01	Deep Deletion	359.4836	SMAD4: Deep Deletion
TCGA-Q3-AA2A-01	Deep Deletion	291.2761	SMAD4: Deep Deletion
TCGA-S4-A8RO-01	Deep Deletion	327.2835	SMAD4: Deep Deletion
TCGA-2J-AAB4-01	Shallow Deletion	941.3847	SMAD4: Shallow Deletion
TCGA-2J-AAB6-01	Shallow Deletion	736.269	SMAD4: Shallow Deletion
TCGA-2J-AABA-01	Shallow Deletion	1183.6543	SMAD4: Shallow Deletion
TCGA-2J-AABE-01	Shallow Deletion	688.3182	SMAD4: Shallow Deletion
TCGA-2J-AABF-01	Shallow Deletion	1134.9694	SMAD4: Shallow Deletion
TCGA-2J-AABH-01	Shallow Deletion	916.1498	SMAD4: Shallow Deletion
TCGA-2J-AABI-01	Shallow Deletion	523.1604	SMAD4: Shallow Deletion
TCGA-2J-AABK-01	Shallow Deletion	1339.2089	SMAD4: Shallow Deletion
TCGA-2J-AABR-01	Shallow Deletion	1570.1608	SMAD4: Shallow Deletion
TCGA-2J-AABT-01	Shallow Deletion	1293.6108	SMAD4: Shallow Deletion
TCGA-2J-AABV-01	Shallow Deletion	1144.8819	SMAD4: Shallow Deletion
TCGA-2L-AAQA-01	Shallow Deletion	940.4665	SMAD4: Shallow Deletion
TCGA-2L-AAQJ-01	Shallow Deletion	1117.3267	SMAD4: Shallow Deletion
TCGA-2L-AAQL-01	Shallow Deletion	1171.4347	SMAD4: Shallow Deletion
TCGA-3A-A9I7-01	Shallow Deletion	1453.153	SMAD4: Shallow Deletion
TCGA-3A-A9I9-01	Shallow Deletion	1208.5836	SMAD4: Shallow Deletion
TCGA-3A-A9IH-01	Shallow Deletion	943.0568	SMAD4: Shallow Deletion
TCGA-3E-AAAZ-01	Shallow Deletion	1510.905	SMAD4: Shallow Deletion
